10 103.000000
20 395.000000
30 875.000000
40 1548.000000
50 2444.000000
60 3501.000000
70 4775.000000
80 6376.000000
90 7938.000000
100 9679.000000
110 11859.000000
120 14086.000000
130 16422.000000
140 18979.000000
150 21865.000000
160 24995.000000
170 28192.000000
180 31369.000000
190 34664.000000
200 37872.000000
210 42045.000000
220 45965.000000
230 50705.000000
240 54897.000000
250 59562.000000
260 64875.000000
270 70384.000000
280 75109.000000
290 80422.000000
300 86956.000000
310 92882.000000
320 100201.000000
330 105977.000000
340 112059.000000
350 118375.000000
360 124111.000000
370 130495.000000
380 137086.000000
390 144086.000000
400 150664.000000
410 157489.000000
420 165675.000000
430 174298.000000
440 182396.000000
450 190214.000000
460 198678.000000
470 209540.000000
480 219353.000000
490 227855.000000
500 239819.000000
